pathName,infected,infectionType
tomato_908_0_DontCare.jpg,0,4
tomato_52265_0_DontCare.jpg,0,4
tomato_30024_0_DontCare.jpg,0,4
tomato_19371_1_LateBlight.jpg,1,0
tomato_1764_1_LateBlight.jpg,1,0
tomato_10518_1_EarlyBlight.jpg,1,1
tomato_30031_0_DontCare.jpg,0,4
tomato_4951_1_EarlyBlight.jpg,1,1
tomato_52270_0_DontCare.jpg,0,4
tomato_12876_1_EarlyBlight.jpg,1,1
tomato_7366_1_LateBlight.jpg,1,0
tomato_45637_0_DontCare.jpg,0,4
tomato_62811_0_DontCare.jpg,0,4
tomato_9468_1_EarlyBlight.jpg,1,1
tomato_27476_0_DontCare.jpg,0,4
tomato_18557_0_DontCare.jpg,0,4
tomato_2894_1_EarlyBlight.jpg,1,1
tomato_48386_0_DontCare.jpg,0,4
tomato_18542_0_DontCare.jpg,0,4
tomato_48393_0_DontCare.jpg,0,4
tomato_21926_1_EarlyBlight.jpg,1,1
tomato_27463_0_DontCare.jpg,0,4
tomato_45622_0_DontCare.jpg,0,4
tomato_12638_0_DontCare.jpg,0,4
tomato_62804_0_DontCare.jpg,0,4
tomato_15948_1_LateBlight.jpg,1,0
tomato_1559_1_LateBlight.jpg,1,0
tomato_34317_0_DontCare.jpg,0,4
tomato_9289_1_LateBlight.jpg,1,0
tomato_56156_0_DontCare.jpg,0,4
tomato_13209_1_EarlyBlight.jpg,1,1
tomato_18688_1_EarlyBlight.jpg,1,1
tomato_51788_0_DontCare.jpg,0,4
tomato_56143_0_DontCare.jpg,0,4
tomato_20359_1_EarlyBlight.jpg,1,1
tomato_34302_0_DontCare.jpg,0,4
tomato_2313_1_LateBlight.jpg,1,0
tomato_22858_1_LateBlight.jpg,1,0
tomato_23745_0_DontCare.jpg,0,4
tomato_53979_0_DontCare.jpg,0,4
tomato_7383_0_DontCare.jpg,0,4
tomato_41504_0_DontCare.jpg,0,4
tomato_401_1_LeafMold.jpg,1,2
tomato_6596_1_LeafMold.jpg,1,2
tomato_4711_1_LateBlight.jpg,1,0
tomato_6583_1_LeafMold.jpg,1,2
tomato_1348_1_LeafMold.jpg,1,2
tomato_41511_0_DontCare.jpg,0,4
tomato_414_1_LeafMold.jpg,1,2
tomato_23750_0_DontCare.jpg,0,4
tomato_7396_0_DontCare.jpg,0,4
tomato_7165_1_LateBlight.jpg,1,0
